Frame Number,Time Stamp (ms),Buffer Index
0,-6,0
1,56,0
2,95,0
3,145,0
4,195,0
5,245,0
6,295,0
7,344,0
8,395,0
9,445,0
10,495,0
11,545,0
12,595,0
13,645,0
14,694,0
15,744,0
16,795,0
17,845,0
18,895,0
19,945,0
20,995,0
21,1046,0
22,1095,0
23,1145,0
24,1195,0
25,1245,0
26,1296,0
27,1346,0
28,1396,0
29,1446,0
30,1495,0
31,1545,0
32,1596,0
33,1646,0
34,1696,0
35,1746,0
36,1796,0
37,1845,0
38,1895,0
39,1946,0
40,1996,0
41,2046,0
42,2096,0
43,2146,0
44,2197,0
45,2246,0
46,2296,0
47,2346,0
48,2396,0
49,2447,0
50,2497,0
51,2547,0
52,2596,0
53,2646,0
54,2696,0
55,2746,0
56,2796,0
57,2846,0
58,2896,0
59,2946,0
60,2997,0
61,3047,0
62,3097,0
63,3147,0
64,3196,0
65,3246,0
66,3297,0
67,3347,0
68,3397,0
69,3447,0
70,3498,0
71,3547,0
72,3597,0
73,3647,0
74,3697,0
75,3747,0
76,3797,0
77,3847,0
78,3898,0
79,3947,0
80,3997,0
81,4047,0
82,4097,0
83,4147,0
84,4198,0
85,4248,0
86,4297,0
87,4347,0
88,4397,0
89,4447,0
90,4498,0
91,4548,0
92,4598,0
93,4648,0
94,4697,0
95,4748,0
96,4797,0
97,4848,0
98,4898,0
99,4948,0
100,4998,0
101,5048,0
102,5098,0
103,5148,0
104,5198,0
105,5248,0
106,5299,0
107,5349,0
108,5398,0
109,5448,0
110,5498,0
111,5548,0
112,5598,0
113,5648,0
114,5698,0
115,5749,0
116,5799,0
117,5849,0
118,5898,0
119,5948,0
120,5998,0
121,6049,0
122,6099,0
123,6149,0
124,6199,0
125,6249,0
126,6299,0
127,6349,0
128,6399,0
129,6449,0
130,6499,0
131,6549,0
132,6599,0
133,6648,0
134,6699,0
135,6749,0
136,6799,0
137,6849,0
138,6899,0
139,6950,0
140,7000,0
141,7049,0
142,7099,0
143,7149,0
144,7199,0
145,7249,0
146,7300,0
147,7350,0
148,7400,0
149,7450,0
150,7499,0
151,7549,0
152,7599,0
153,7650,0
154,7700,0
155,7750,0
156,7800,0
157,7850,0
158,7900,0
159,7949,0
160,8000,0
161,8050,0
162,8100,0
163,8150,0
164,8200,0
165,8250,0
166,8301,0
167,8350,0
168,8400,0
169,8450,0
170,8500,0
171,8550,0
172,8600,0
173,8650,0
174,8700,0
175,8751,0
176,8801,0
177,8851,0
178,8900,0
179,8950,0
180,9000,0
181,9050,0
182,9101,0
183,9151,0
184,9201,0
185,9250,0
186,9300,0
187,9350,0
188,9401,0
189,9451,0
190,9501,0
191,9551,0
192,9601,0
193,9650,0
194,9701,0
195,9751,0
196,9801,0
197,9851,0
198,9901,0
199,9951,0
200,10001,0
201,10052,0
202,10102,0
203,10151,0
204,10201,0
205,10251,0
206,10301,0
207,10351,0
208,10402,0
209,10452,0
210,10502,0
211,10551,0
212,10601,0
213,10652,0
214,10701,0
215,10752,0
216,10802,0
217,10852,0
218,10901,0
219,10951,0
220,11002,0
221,11052,0
222,11102,0
223,11152,0
224,11202,0
225,11253,0
226,11302,0
227,11352,0
228,11402,0
229,11452,0
230,11502,0
231,11553,0
232,11602,0
233,11652,0
234,11703,0
235,11752,0
236,11802,0
237,11852,0
238,11902,0
239,11952,0
240,12002,0
241,12052,0
242,12103,0
243,12153,0
244,12203,0
245,12253,0
246,12302,0
247,12353,0
248,12403,0
249,12453,0
250,12503,0
251,12554,0
252,12603,0
253,12653,0
254,12703,0
255,12753,0
256,12803,0
257,12853,0
258,12903,0
259,12953,0
260,13003,0
261,13053,0
262,13103,0
263,13153,0
264,13203,0
265,13253,0
266,13304,0
267,13353,0
268,13403,0
269,13454,0
270,13504,0
271,13554,0
272,13604,0
273,13654,0
274,13704,0
275,13754,0
276,13805,0
277,13854,0
278,13903,0
279,13954,0
280,14004,0
281,14053,0
282,14104,0
283,14154,0
284,14204,0
285,14254,0
286,14304,0
287,14354,0
288,14405,0
289,14454,0
290,14505,0
291,14554,0
292,14605,0
293,14655,0
294,14704,0
295,14755,0
296,14805,0
297,14855,0
298,14904,0
299,14954,0
300,15004,0
301,15055,0
302,15105,0
303,15155,0
304,15204,0
305,15255,0
306,15305,0
307,15355,0
308,15405,0
309,15455,0
310,15506,0
311,15556,0
312,15605,0
313,15655,0
314,15706,0
315,15755,0
316,15805,0
317,15855,0
318,15906,0
319,15955,0
320,16006,0
321,16056,0
322,16105,0
323,16155,0
324,16206,0
325,16256,0
326,16306,0
327,16356,0
328,16406,0
329,16456,0
330,16505,0
331,16556,0
332,16606,0
333,16656,0
334,16707,0
335,16756,0
336,16807,0
337,16856,0
338,16907,0
339,16957,0
340,17005,0
341,17056,0
342,17107,0
343,17156,0
344,17206,0
345,17257,0
346,17307,0
347,17357,0
348,17407,0
349,17457,0
350,17507,0
351,17556,0
352,17607,0
353,17657,0
354,17707,0
355,17758,0
356,17807,0
357,17857,0
358,17908,0
359,17957,0
360,18008,0
361,18058,0
362,18108,0
363,18157,0
364,18207,0
365,18258,0
366,18308,0
367,18357,0
368,18407,0
369,18457,0
370,18508,0
371,18557,0
372,18608,0
373,18658,0
374,18708,0
375,18757,0
376,18808,0
377,18858,0
378,18908,0
379,18958,0
380,19009,0
381,19059,0
382,19108,0
383,19158,0
384,19208,0
385,19258,0
386,19308,0
387,19358,0
388,19408,0
389,19459,0
390,19508,0
391,19558,0
392,19609,0
393,19658,0
394,19709,0
395,19758,0
396,19809,0
397,19858,0
398,19908,0
399,19958,0
400,20008,0
401,20059,0
402,20108,0
403,20159,0
404,20210,0
405,20259,0
406,20309,0
407,20359,0
408,20409,0
409,20459,0
410,20509,0
411,20560,0
412,20609,0
413,20659,0
414,20709,0
415,20759,0
416,20809,0
417,20859,0
418,20910,0
419,20959,0
420,21009,0
421,21059,0
422,21109,0
423,21159,0
424,21209,0
425,21260,0
426,21309,0
427,21360,0
428,21410,0
429,21460,0
430,21509,0
431,21559,0
432,21609,0
433,21659,0
434,21710,0
435,21760,0
436,21810,0
437,21859,0
438,21909,0
439,21960,0
440,22010,0
441,22060,0
442,22110,0
443,22161,0
444,22211,0
445,22259,0
446,22310,0
447,22360,0
448,22410,0
449,22460,0
450,22511,0
451,22560,0
452,22610,0
453,22660,0
454,22710,0
455,22760,0
456,22811,0
457,22860,0
458,22911,0
459,22960,0
460,23010,0
461,23060,0
462,23110,0
463,23161,0
464,23211,0
465,23261,0
466,23311,0
467,23360,0
468,23410,0
469,23463,0
470,23511,0
471,23561,0
472,23611,0
473,23662,0
474,23711,0
475,23761,0
476,23811,0
477,23862,0
478,23911,0
479,23962,0
480,24011,0
481,24061,0
482,24111,0
483,24162,0
484,24211,0
485,24261,0
486,24311,0
487,24362,0
488,24412,0
489,24462,0
490,24511,0
491,24562,0
492,24611,0
493,24661,0
494,24712,0
495,24762,0
496,24816,0
497,24862,0
498,24911,0
499,24961,0
500,25012,0
501,25062,0
502,25112,0
503,25163,0
504,25212,0
505,25263,0
506,25312,0
507,25362,0
508,25412,0
509,25462,0
510,25512,0
511,25562,0
512,25613,0
513,25662,0
514,25712,0
515,25762,0
516,25813,0
517,25863,0
518,25912,0
519,25962,0
520,26013,0
521,26063,0
522,26113,0
523,26164,0
524,26212,0
525,26263,0
526,26313,0
527,26362,0
528,26413,0
529,26463,0
530,26513,0
531,26563,0
532,26614,0
533,26663,0
534,26713,0
535,26762,0
536,26813,0
537,26863,0
538,26914,0
539,26963,0
540,27013,0
541,27064,0
542,27112,0
543,27163,0
544,27213,0
545,27263,0
546,27314,0
547,27363,0
548,27414,0
549,27464,0
550,27513,0
551,27563,0
552,27613,0
553,27664,0
554,27714,0
555,27764,0
556,27814,0
557,27863,0
558,27914,0
559,27963,0
560,28014,0
561,28064,0
562,28114,0
563,28164,0
564,28215,0
565,28264,0
566,28314,0
567,28364,0
568,28414,0
569,28464,0
570,28514,0
571,28564,0
572,28615,0
573,28663,0
574,28714,0
575,28764,0
576,28814,0
577,28864,0
578,28914,0
579,28965,0
580,29014,0
581,29065,0
582,29115,0
583,29164,0
584,29215,0
585,29265,0
586,29315,0
587,29365,0
588,29415,0
589,29464,0
590,29514,0
591,29565,0
592,29615,0
593,29665,0
594,29715,0
595,29765,0
596,29815,0
597,29865,0
598,29915,0
599,29965,0
600,30015,0
601,30066,0
602,30115,0
603,30165,0
604,30215,0
605,30265,0
606,30316,0
607,30366,0
608,30416,0
609,30466,0
610,30515,0
611,30565,0
612,30616,0
613,30665,0
614,30715,0
615,30765,0
616,30816,0
617,30865,0
618,30916,0
619,30966,0
620,31016,0
621,31065,0
622,31115,0
623,31165,0
624,31216,0
625,31266,0
626,31316,0
627,31366,0
628,31416,0
629,31466,0
630,31516,0
631,31566,0
632,31616,0
633,31666,0
634,31716,0
635,31765,0
636,31816,0
637,31866,0
638,31916,0
639,31966,0
640,32016,0
641,32066,0
642,32117,0
643,32166,0
644,32216,0
645,32266,0
646,32316,0
647,32366,0
648,32417,0
649,32467,0
650,32516,0
651,32566,0
652,32616,0
653,32667,0
654,32717,0
655,32767,0
656,32817,0
657,32867,0
658,32917,0
659,32966,0
660,33017,0
661,33067,0
662,33117,0
663,33167,0
664,33218,0
665,33267,0
666,33317,0
667,33367,0
668,33417,0
669,33467,0
670,33518,0
671,33568,0
672,33618,0
673,33667,0
674,33717,0
675,33767,0
676,33817,0
677,33868,0
678,33918,0
679,33968,0
680,34017,0
681,34067,0
682,34118,0
683,34168,0
684,34218,0
685,34268,0
686,34318,0
687,34368,0
688,34417,0
689,34468,0
690,34518,0
691,34568,0
692,34618,0
693,34668,0
694,34718,0
695,34767,0
696,34818,0
697,34868,0
698,34917,0
699,34968,0
700,35018,0
701,35068,0
702,35118,0
703,35168,0
704,35218,0
705,35268,0
706,35318,0
707,35369,0
708,35418,0
709,35468,0
710,35518,0
711,35568,0
712,35618,0
713,35669,0
714,35722,0
715,35768,0
716,35819,0
717,35869,0
718,35919,0
719,35968,0
720,36018,0
721,36068,0
722,36119,0
723,36169,0
724,36219,0
725,36269,0
726,36318,0
727,36369,0
728,36418,0
729,36469,0
730,36520,0
731,36569,0
732,36619,0
733,36669,0
734,36719,0
735,36768,0
736,36819,0
737,36869,0
738,36919,0
739,36970,0
740,37019,0
741,37070,0
742,37119,0
743,37170,0
744,37219,0
745,37269,0
746,37319,0
747,37369,0
748,37419,0
749,37470,0
750,37520,0
751,37570,0
752,37619,0
753,37669,0
754,37719,0
755,37770,0
756,37820,0
757,37870,0
758,37920,0
759,37970,0
760,38020,0
761,38071,0
762,38120,0
763,38170,0
764,38220,0
765,38271,0
766,38320,0
767,38370,0
768,38420,0
769,38470,0
770,38520,0
771,38570,0
772,38621,0
773,38671,0
774,38720,0
775,38770,0
776,38820,0
777,38870,0
778,38920,0
779,38971,0
780,39021,0
781,39070,0
782,39120,0
783,39170,0
784,39220,0
785,39271,0
786,39321,0
787,39371,0
788,39421,0
789,39471,0
790,39521,0
791,39571,0
792,39620,0
793,39671,0
794,39721,0
795,39771,0
796,39821,0
797,39871,0
798,39922,0
799,39971,0
800,40021,0
801,40071,0
802,40121,0
803,40171,0
804,40221,0
805,40272,0
806,40322,0
807,40371,0
808,40421,0
809,40471,0
810,40522,0
811,40572,0
812,40622,0
813,40672,0
814,40722,0
815,40772,0
816,40822,0
817,40871,0
818,40921,0
819,40972,0
820,41022,0
821,41072,0
822,41122,0
823,41171,0
824,41221,0
825,41272,0
826,41322,0
827,41372,0
828,41422,0
829,41472,0
830,41523,0
831,41572,0
832,41622,0
833,41672,0
834,41722,0
835,41772,0
836,41822,0
837,41873,0
838,41923,0
839,41972,0
840,42022,0
841,42072,0
842,42122,0
843,42173,0
844,42223,0
845,42273,0
846,42323,0
847,42373,0
848,42422,0
849,42472,0
850,42523,0
851,42573,0
852,42623,0
853,42673,0
854,42723,0
855,42774,0
856,42822,0
857,42873,0
858,42923,0
859,42973,0
860,43023,0
861,43073,0
862,43124,0
863,43173,0
864,43223,0
865,43273,0
866,43323,0
867,43373,0
868,43424,0
869,43474,0
870,43524,0
871,43573,0
872,43623,0
873,43673,0
874,43724,0
875,43774,0
876,43824,0
877,43874,0
878,43923,0
879,43973,0
880,44023,0
881,44074,0
882,44124,0
883,44174,0
884,44224,0
885,44275,0
886,44324,0
887,44374,0
888,44424,0
889,44474,0
890,44524,0
891,44574,0
892,44625,0
893,44674,0
894,44724,0
895,44774,0
896,44824,0
897,44874,0
898,44925,0
899,44974,0
900,45024,0
901,45074,0
902,45125,0
903,45175,0
904,45225,0
905,45275,0
906,45324,0
907,45374,0
908,45424,0
909,45475,0
910,45526,0
911,45575,0
912,45625,0
913,45675,0
914,45725,0
915,45775,0
916,45825,0
917,45875,0
918,45925,0
919,45975,0
920,46025,0
921,46075,0
922,46125,0
923,46175,0
924,46225,0
925,46275,0
926,46325,0
927,46375,0
928,46425,0
929,46476,0
930,46526,0
931,46575,0
932,46626,0
933,46675,0
934,46726,0
935,46775,0
936,46826,0
937,46876,0
938,46926,0
939,46975,0
940,47026,0
941,47076,0
942,47126,0
943,47176,0
944,47226,0
945,47276,0
946,47325,0
947,47376,0
948,47426,0
949,47476,0
950,47526,0
951,47576,0
952,47627,0
953,47677,0
954,47727,0
955,47777,0
956,47826,0
957,47876,0
958,47926,0
959,47976,0
960,48027,0
961,48076,0
962,48126,0
963,48176,0
964,48226,0
965,48277,0
966,48327,0
967,48377,0
968,48426,0
969,48477,0
970,48527,0
971,48577,0
972,48627,0
973,48677,0
974,48727,0
975,48777,0
976,48827,0
977,48877,0
978,48927,0
979,48977,0
980,49027,0
981,49077,0
982,49127,0
983,49178,0
984,49228,0
985,49277,0
986,49327,0
987,49378,0
988,49427,0
989,49478,0
990,49528,0
991,49578,0
992,49627,0
993,49677,0
994,49728,0
995,49778,0
996,49828,0
997,49878,0
998,49928,0
999,49978,0
1000,50028,0
1001,50078,0
1002,50128,0
1003,50178,0
1004,50229,0
1005,50278,0
1006,50328,0
1007,50378,0
1008,50428,0
1009,50478,0
1010,50528,0
1011,50578,0
1012,50629,0
1013,50679,0
1014,50728,0
1015,50779,0
1016,50829,0
1017,50879,0
1018,50929,0
1019,50978,0
1020,51028,0
1021,51078,0
1022,51128,0
1023,51179,0
1024,51229,0
1025,51279,0
1026,51328,0
1027,51378,0
1028,51429,0
1029,51479,0
1030,51529,0
1031,51579,0
1032,51629,0
1033,51680,0
1034,51729,0
1035,51779,0
1036,51829,0
1037,51879,0
1038,51929,0
1039,51980,0
1040,52030,0
1041,52084,0
1042,52129,0
1043,52179,0
1044,52229,0
1045,52279,0
1046,52330,0
1047,52380,0
1048,52430,0
1049,52480,0
1050,52530,0
1051,52579,0
1052,52629,0
1053,52679,0
1054,52730,0
1055,52780,0
1056,52830,0
1057,52880,0
1058,52930,0
1059,52979,0
1060,53029,0
1061,53079,0
1062,53129,0
1063,53180,0
1064,53230,0
1065,53280,0
1066,53330,0
1067,53380,0
1068,53431,0
1069,53481,0
1070,53530,0
1071,53580,0
1072,53630,0
1073,53680,0
1074,53730,0
1075,53781,0
1076,53831,0
1077,53880,0
1078,53930,0
1079,53980,0
1080,54031,0
1081,54081,0
1082,54131,0
1083,54181,0
1084,54231,0
1085,54280,0
1086,54330,0
1087,54381,0
1088,54431,0
1089,54481,0
1090,54531,0
1091,54581,0
1092,54630,0
1093,54680,0
1094,54731,0
1095,54781,0
1096,54831,0
1097,54881,0
1098,54931,0
1099,54982,0
1100,55030,0
1101,55081,0
1102,55131,0
1103,55181,0
1104,55232,0
1105,55282,0
1106,55331,0
1107,55381,0
1108,55431,0
1109,55481,0
1110,55531,0
1111,55581,0
1112,55631,0
1113,55681,0
1114,55732,0
1115,55782,0
1116,55832,0
1117,55882,0
1118,55932,0
1119,55982,0
1120,56031,0
1121,56082,0
1122,56132,0
1123,56183,0
1124,56232,0
1125,56282,0
1126,56332,0
1127,56382,0
1128,56432,0
1129,56482,0
1130,56532,0
1131,56582,0
1132,56632,0
1133,56683,0
1134,56733,0
1135,56782,0
1136,56832,0
1137,56882,0
1138,56932,0
1139,56983,0
1140,57033,0
1141,57084,0
1142,57133,0
1143,57182,0
1144,57232,0
1145,57282,0
1146,57333,0
1147,57382,0
1148,57433,0
1149,57483,0
1150,57538,0
1151,57582,0
1152,57633,0
1153,57683,0
1154,57733,0
1155,57783,0
1156,57834,0
1157,57883,0
1158,57933,0
1159,57983,0
1160,58033,0
1161,58083,0
1162,58133,0
1163,58184,0
1164,58234,0
1165,58285,0
1166,58333,0
1167,58383,0
1168,58433,0
1169,58484,0
1170,58534,0
1171,58584,0
1172,58634,0
1173,58683,0
1174,58733,0
1175,58783,0
1176,58834,0
1177,58884,0
1178,58935,0
1179,58984,0
1180,59034,0
1181,59083,0
1182,59134,0
1183,59185,0
1184,59235,0
1185,59284,0
1186,59334,0
1187,59384,0
1188,59434,0
1189,59484,0
1190,59534,0
1191,59584,0
1192,59635,0
1193,59685,0
1194,59734,0
1195,59785,0
1196,59835,0
1197,59885,0
1198,59935,0
1199,59984,0
1200,60034,0
1201,60085,0
1202,60135,0
1203,60185,0
1204,60235,0
1205,60285,0
1206,60335,0
1207,60385,0
1208,60436,0
1209,60485,0
1210,60536,0
1211,60585,0
1212,60635,0
1213,60685,0
1214,60735,0
1215,60786,0
1216,60836,0
1217,60885,0
1218,60936,0
1219,60986,0
1220,61036,0
1221,61085,0
1222,61136,0
1223,61186,0
1224,61236,0
1225,61286,0
1226,61336,0
1227,61386,0
1228,61436,0
1229,61487,0
1230,61535,0
1231,61586,0
1232,61636,0
1233,61686,0
1234,61736,0
1235,61786,0
1236,61836,0
1237,61887,0
1238,61936,0
1239,61986,0
1240,62036,0
1241,62086,0
1242,62136,0
1243,62186,0
1244,62237,0
1245,62286,0
1246,62336,0
1247,62386,0
1248,62436,0
1249,62487,0
1250,62536,0
1251,62587,0
1252,62637,0
1253,62687,0
1254,62737,0
1255,62787,0
1256,62837,0
1257,62887,0
1258,62937,0
1259,62988,0
1260,63036,0
1261,63087,0
1262,63138,0
1263,63186,0
1264,63237,0
1265,63286,0
1266,63337,0
1267,63386,0
1268,63437,0
1269,63488,0
1270,63538,0
1271,63588,0
1272,63637,0
1273,63688,0
1274,63737,0
1275,63787,0
1276,63837,0
1277,63888,0
1278,63937,0
1279,63988,0
1280,64037,0
1281,64087,0
1282,64137,0
1283,64187,0
1284,64237,0
1285,64288,0
1286,64337,0
1287,64388,0
1288,64438,0
1289,64488,0
1290,64537,0
1291,64587,0
1292,64638,0
1293,64687,0
1294,64738,0
1295,64788,0
1296,64838,0
1297,64888,0
1298,64937,0
1299,64988,0
1300,65038,0
1301,65088,0
1302,65138,0
1303,65188,0
1304,65238,0
1305,65288,0
1306,65339,0
1307,65388,0
1308,65438,0
1309,65488,0
1310,65538,0
1311,65589,0
1312,65638,0
1313,65689,0
1314,65738,0
1315,65789,0
1316,65839,0
1317,65888,0
1318,65938,0
1319,65988,0
1320,66039,0
1321,66089,0
1322,66139,0
1323,66190,0
1324,66239,0
1325,66289,0
1326,66339,0
1327,66388,0
1328,66439,0
1329,66489,0
1330,66540,0
1331,66590,0
1332,66639,0
1333,66689,0
1334,66739,0
1335,66790,0
1336,66839,0
1337,66890,0
1338,66940,0
1339,66989,0
1340,67039,0
1341,67089,0
1342,67139,0
1343,67189,0
1344,67240,0
1345,67290,0
1346,67340,0
1347,67389,0
1348,67439,0
1349,67489,0
1350,67540,0
1351,67590,0
1352,67640,0
1353,67690,0
1354,67739,0
1355,67790,0
1356,67839,0
1357,67890,0
1358,67940,0
1359,67990,0
1360,68040,0
1361,68091,0
1362,68139,0
1363,68190,0
1364,68240,0
1365,68290,0
1366,68341,0
1367,68390,0
1368,68444,0
1369,68490,0
1370,68540,0
1371,68590,0
1372,68640,0
1373,68691,0
1374,68741,0
1375,68790,0
1376,68840,0
1377,68890,0
1378,68940,0
1379,68991,0
1380,69041,0
1381,69091,0
1382,69140,0
1383,69190,0
1384,69240,0
1385,69290,0
1386,69341,0
1387,69391,0
1388,69441,0
1389,69491,0
1390,69540,0
1391,69591,0
1392,69641,0
1393,69691,0
1394,69741,0
1395,69795,0
1396,69841,0
1397,69891,0
1398,69941,0
1399,69992,0
1400,70041,0
1401,70091,0
1402,70141,0
1403,70192,0
1404,70241,0
1405,70292,0
1406,70342,0
1407,70392,0
1408,70441,0
1409,70491,0
1410,70542,0
1411,70591,0
1412,70642,0
1413,70692,0
1414,70742,0
1415,70791,0
1416,70842,0
1417,70892,0
1418,70942,0
1419,70992,0
1420,71043,0
1421,71092,0
1422,71143,0
1423,71192,0
1424,71242,0
1425,71293,0
1426,71342,0
1427,71392,0
1428,71443,0
1429,71492,0
1430,71542,0
1431,71592,0
1432,71643,0
1433,71692,0
1434,71743,0
1435,71793,0
1436,71842,0
1437,71893,0
1438,71943,0
1439,71992,0
1440,72042,0
1441,72092,0
1442,72143,0
1443,72193,0
1444,72243,0
1445,72293,0
1446,72344,0
1447,72392,0
1448,72443,0
1449,72493,0
1450,72543,0
1451,72593,0
1452,72643,0
1453,72693,0
1454,72743,0
1455,72793,0
1456,72843,0
1457,72893,0
1458,72944,0
1459,72994,0
1460,73044,0
1461,73094,0
1462,73143,0
1463,73193,0
1464,73243,0
1465,73294,0
1466,73344,0
1467,73394,0
1468,73444,0
1469,73493,0
1470,73543,0
1471,73594,0
1472,73644,0
1473,73694,0
1474,73744,0
1475,73794,0
1476,73844,0
1477,73894,0
1478,73944,0
1479,73994,0
1480,74044,0
1481,74094,0
1482,74144,0
1483,74195,0
1484,74244,0
1485,74294,0
1486,74345,0
1487,74395,0
1488,74444,0
1489,74495,0
1490,74544,0
1491,74595,0
1492,74644,0
1493,74695,0
1494,74745,0
1495,74795,0
1496,74844,0
1497,74894,0
1498,74944,0
1499,74995,0
1500,75045,0
1501,75095,0
1502,75145,0
1503,75194,0
1504,75248,0
1505,75295,0
1506,75344,0
1507,75395,0
1508,75445,0
1509,75495,0
1510,75545,0
1511,75595,0
1512,75645,0
1513,75695,0
1514,75745,0
1515,75795,0
1516,75845,0
1517,75895,0
1518,75945,0
1519,75996,0
1520,76046,0
1521,76095,0
1522,76145,0
1523,76195,0
1524,76245,0
1525,76295,0
1526,76346,0
1527,76396,0
1528,76445,0
1529,76495,0
1530,76546,0
1531,76596,0
1532,76646,0
1533,76696,0
1534,76746,0
1535,76797,0
1536,76845,0
1537,76896,0
1538,76946,0
1539,76996,0
1540,77046,0
1541,77097,0
1542,77146,0
1543,77196,0
1544,77246,0
1545,77296,0
1546,77346,0
1547,77396,0
1548,77446,0
1549,77496,0
1550,77547,0
1551,77596,0
1552,77646,0
1553,77696,0
1554,77746,0
1555,77797,0
1556,77847,0
1557,77897,0
1558,77946,0
1559,77996,0
1560,78046,0
1561,78096,0
1562,78146,0
1563,78196,0
1564,78246,0
1565,78297,0
1566,78347,0
1567,78397,0
1568,78446,0
1569,78497,0
1570,78547,0
1571,78597,0
1572,78647,0
1573,78697,0
1574,78746,0
1575,78797,0
1576,78848,0
1577,78897,0
1578,78947,0
1579,78997,0
1580,79047,0
1581,79097,0
1582,79147,0
1583,79197,0
1584,79247,0
1585,79297,0
1586,79348,0
1587,79399,0
1588,79448,0
1589,79497,0
1590,79547,0
1591,79597,0
1592,79648,0
1593,79698,0
1594,79747,0
1595,79797,0
1596,79848,0
1597,79898,0
1598,79948,0
1599,79998,0
1600,80047,0
1601,80098,0
1602,80147,0
1603,80197,0
1604,80248,0
1605,80298,0
1606,80348,0
1607,80398,0
1608,80448,0
1609,80498,0
1610,80548,0
1611,80598,0
1612,80649,0
1613,80698,0
1614,80748,0
1615,80799,0
1616,80848,0
1617,80899,0
1618,80948,0
1619,80998,0
1620,81048,0
1621,81099,0
1622,81149,0
1623,81199,0
1624,81248,0
