11:28:25.618 -> active,78,rewards,5,411
11:28:25.710 -> active,79,rewards,5,411
11:28:25.939 -> active,80,rewards,5,412
11:28:25.985 -> active,81,rewards,5,412
11:28:27.317 -> pre-trials,27;
11:28:33.338 -> GO trials,12;
11:28:36.516 -> active,82,rewards,6,422
11:28:36.609 -> active,83,rewards,6,422
11:28:36.838 -> active,84,rewards,6,422
11:28:36.976 -> active,85,rewards,6,423
11:28:46.632 -> pre-trials,28;
11:28:49.535 -> active,86,premature,16,435
11:28:52.155 -> inactive,40,438
11:28:53.026 -> inactive,41,439
11:28:58.033 -> active,87,rewards,6,444
11:28:59.595 -> pre-trials,29;
11:29:01.106 -> inactive,42,447
11:29:01.659 -> inactive,43,447
11:29:02.575 -> GO trials,13;
11:29:07.167 -> active,88,rewards,7,453
11:29:17.325 -> pre-trials,30;
11:29:17.325 -> active,89,premature,17,463
11:29:21.509 -> inactive,44,467
11:29:21.787 -> inactive,45,467
11:29:21.879 -> inactive,46,467
11:29:21.879 -> inactive,47,467
11:29:23.574 -> inactive,48,469
11:29:27.374 -> pre-trials,31;
11:29:30.218 -> inactive,49,476
11:29:30.863 -> inactive,50,476
11:29:33.387 -> GO trials,14;
11:29:37.385 -> inactive,51,483
11:29:37.797 -> inactive,52,483
11:29:38.393 -> omissions,7;
11:29:42.208 -> active,90,rewards,7,488
11:29:42.986 -> active,91,rewards,7,488
11:29:43.078 -> active,92,rewards,7,489
11:29:43.354 -> active,93,rewards,7,489
11:29:43.492 -> active,94,rewards,7,489
11:29:44.225 -> active,95,rewards,7,490
11:29:45.420 -> active,96,rewards,7,491
11:29:47.573 -> inactive,53,493
11:29:48.446 -> pre-trials,32;
11:29:50.971 -> inactive,54,496
11:29:51.659 -> inactive,55,497
11:29:54.469 -> GO trials,15;
11:29:59.435 -> active,97,rewards,8,505
11:30:09.571 -> pre-trials,33;
11:30:10.445 -> active,98,premature,18,516
11:30:14.313 -> active,99,rewards,8,520
11:30:16.620 -> active,100,rewards,8,522
11:30:19.979 -> active,101,rewards,8,525
11:30:20.488 -> pre-trials,34;
11:30:27.853 -> inactive,56,533
11:30:27.993 -> inactive,57,533
11:30:29.510 -> GO trials,16;
11:30:33.889 -> active,102,rewards,9,539
11:30:44.012 -> pre-trials,35;
11:30:53.044 -> GO trials,17;
11:30:53.641 -> active,103,rewards,10,559
11:31:03.722 -> pre-trials,36;
11:31:05.748 -> active,104,premature,19,571
